,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,2,20,F,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,16,14,15,52.97698469999887,,52.976986800000304,58.0926987999992,59.917176000002655,59.9171817000024,61.43444889999228,62.457165800005896,q,16,1.8244772000034573,1,Correct,,,,,-11.85815184772034,-0.1499776099521002,0.14647099445506973,59397.0,2.1114563029644806,-0.18839950631609748,-0.5811124940469945,67761.0,53.074577386998975,,61.43857738699897
1,1,2,20,F,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,11,12,10,63.97415739999269,,63.97416040000098,68.99657180000213,70.42121600000246,70.42122180000297,71.93806760000007,72.9559608999989,w,12,1.42464420000033,1,Correct,,,,,21.610149306351662,0.348676150354307,-0.006338331787664853,70300.0,6.173068499156617,0.1416251849649286,-0.6509503666505232,78260.0,63.97757738699897,,71.93757738699898
2,2,2,20,F,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,11,12,10,74.47381090000272,,74.47383439999248,79.49373109999578,80.88503309999942,80.88503920000221,82.40183960000286,83.4198602999968,w,12,1.391302000003634,1,Correct,,,,,27.958800694153112,0.7062222316952771,0.3697062680184735,80798.0,-14.991666354378351,0.042461511420149645,-0.7683679152869161,88724.0,74.47557738699898,,82.40157738699898
3,3,2,20,F,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,6,5,84.93658880000294,,84.9365919999982,89.95545159999165,96.0050404999929,96.00504689999798,97.5218906999944,98.54259149999416,e,5,6.049588900001254,0,Incorrect,,,,,-17.298403727282555,-0.11076577341283933,2.760660774131276,91259.0,-27.3202339242215,0.017290203452127617,-0.6923831626083672,103846.0,84.93657738699898,,97.52357738699898
4,4,2,20,F,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,22,21,20,100.05980479999562,,100.05980790000469,105.08045839999976,106.36511460000474,106.36512040000524,107.88266360000124,108.89977160000126,e,20,1.2846562000049744,1,Correct,,,,,9.96686504225202,0.5890109909926209,-0.1237341988213636,106384.0,2.796017248912351,0.25207983027901193,0.22368083366312064,114204.0,100.06157738699898,,107.88157738699897
5,5,2,20,F,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,9,11,10,110.41759820000152,,110.41760089999298,115.43801529999472,116.15704279999773,116.15704839999673,117.67387889999372,118.69197139999596,w,11,0.7190275000029942,1,Correct,,,,,29.991868110349987,0.11175595060686838,-0.25964241459202153,116742.0,0.8928792389219549,0.364141321707808,-0.7006191429470503,123996.0,110.41957738699898,,117.67357738699897
6,6,2,20,F,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,22,23,120.20897409999452,,120.2089774000051,125.22918789999676,126.01301900000544,126.01302519999444,127.53002219999324,128.54816160000337,q,21,0.7838311000086833,1,Correct,,,,,21.130784863054778,0.038615266564437256,-0.4677973615705353,126533.0,-35.27067752244189,0.02388342556663048,0.2981792936958909,133852.0,120.21057738699898,,127.52957738699898
7,7,2,20,F,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,130.06533879999188,,130.06534159999865,135.08492470000056,135.76497600000584,135.76498219999485,137.2815946000046,138.2995704000059,e,24,0.6800513000052888,1,Correct,,,,,-2.4479656058313894,0.20796469632162573,0.35299629033060764,136389.0,-58.49487819539772,0.10539937132443455,-0.2791452596754658,143604.0,130.06657738699897,,137.28157738699898
8,8,2,20,F,0,0,0.0,0,2,0,6 + 1 + 7 + 5 - 1,18,17,18,16,158.72581119999813,,158.72581600000558,163.74663819999842,164.23693400000047,164.23693970000022,165.75337859999854,166.77043089999643,w,18,0.4902958000020589,1,Correct,,,,,8.767687253545963,1.0784724887434667,0.3096334205233804,165050.0,-0.7664878102998927,0.1366362368488523,-0.2943984878602497,172074.0,158.72757738699897,,165.75157738699897
9,9,2,20,F,0,0,1.0,1,3,0,5 + 6 + 7 - 1 - 9,8,7,9,8,168.2869190999918,,168.28692210000008,173.30568190000486,173.82090679999965,173.82091270000092,175.33750660000078,176.35545909999928,e,8,0.5152248999947915,1,Correct,,,,,-50.13059553606946,0.4802487855240716,-0.19252260352046502,174610.0,-12.176076611764177,0.21243220599232338,0.27490262303957014,181659.0,168.28757738699898,,175.33657738699895
10,10,2,20,F,0,0,2.0,2,2,0,6 + 1 + 1 + 7 - 9,6,8,6,4,177.87268179999955,,177.87268469999253,182.8931383000017,183.437107100006,183.4371119999996,184.9540033999947,185.9720919999964,w,6,0.5439688000042224,1,Correct,,,,,13.965238717711895,0.34436753211725346,-0.18196299794249615,184197.0,7.846224557192157,0.5309654949125218,0.06397279671449718,191276.0,177.87457738699896,,184.95357738699897
11,11,2,20,F,0,0,3.0,3,1,0,2 + 1 + 1 + 7 + 1,12,14,12,11,187.4893004000041,,187.48930349999864,192.5093344000052,193.28496079999604,193.2849664999958,194.80171139999584,195.81966900000407,w,12,0.7756263999908697,1,Correct,,,,,30.584326888006924,0.44871440071593227,-0.07589186736844011,193813.0,-28.06548843670149,0.29891913728535435,0.028368745080342705,201124.0,187.49057738699895,,194.80157738699896
12,12,2,20,F,0,0,4.0,4,2,0,7 + 6 + 8 + 1 + 1,23,23,21,22,197.33658049999207,,197.3365835000004,202.3568130000058,203.16495649999703,203.16496209999605,204.6817025999917,205.69972059999412,q,23,0.8081434999912744,1,Correct,,,,,-11.422677411025276,0.175954783171564,1.5241928439359813,203661.0,10.630720044770523,0.44312335710218953,0.24446786051044578,211004.0,197.33857738699896,,204.68157738699895
13,13,2,20,F,0,0,5.0,5,3,0,4 + 8 - 9 + 1 + 7,11,13,9,11,207.21678119999703,,207.2167841000046,212.2369772999955,212.82098629999385,212.8209920999944,214.3377792999964,215.3559258000023,e,11,0.584008999998332,1,Correct,,,,,1.0493136107698806,0.7312310909088677,0.0360760472172279,213541.0,4.8942005766452406,0.11010067633484732,-0.13443552801589131,220660.0,207.21857738699896,,214.33757738699896
14,14,2,20,F,0,0,6.0,6,1,0,3 + 1 + 8 + 1 + 1,14,13,14,12,216.87367899999663,,216.8736820000049,221.89355549999163,222.46888810000385,222.4688940000051,223.9857972000027,225.0037253000046,w,14,0.5753326000121888,1,Correct,,,,,3.1032705990819522,0.48793632705015977,0.15570076976992597,223198.0,-12.15002441488007,-0.21540791353251443,-0.6454899883627956,230308.0,216.87557738699897,,223.98557738699895
15,15,2,20,F,0,0,7.0,7,4,0,5 + 8 - 4 - 6 + 9,12,14,13,12,226.52073970000487,,226.52074279999945,231.54027789999964,232.2048794000002,232.204885500003,233.7210985999991,234.73909899999853,e,12,0.6646015000005718,1,Correct,,,,,6.739518238584552,0.6633529142740033,-0.013237751012218357,232844.0,8.818154128840579,0.26727295395663964,0.39005081119746965,240043.0,226.52157738699896,,233.72057738699897
16,16,2,20,F,0,0,8.0,8,2,0,4 + 1 + 9 + 1 - 6,9,7,9,8,236.25618009999744,,236.2561832999927,241.2754870999925,242.85299270000544,242.85299850000592,244.3698454999976,245.38797969999723,w,9,1.5775056000129553,1,Correct,,,,,3.287844521007443,0.2756971136720443,-0.2768044616524139,242579.0,4.1242773797148296,0.2798354100039733,0.34596002371704815,250692.0,236.25657738699897,,244.36957738699897
17,17,2,20,F,0,0,9.0,9,3,0,2 + 1 + 9 - 7 + 6,11,12,11,13,246.90508889999185,,246.90509179999933,251.9255138000008,252.4448370000028,252.4448430000048,253.96107209999167,254.9787403999944,w,11,0.5193232000019634,1,Correct,,,,,-42.28798476583985,0.3339425931255606,0.26965126222985436,253229.0,17.601932421436956,-0.5359279090339113,0.8234127749196913,260283.0,246.90657738699898,,253.96057738699898
18,18,2,20,F,0,0,10.0,10,3,0,2 + 1 + 9 - 5 + 6,13,14,11,13,256.49603310000384,,256.49603589999606,261.515502299997,262.10083919999306,262.10084529999585,263.6174309000053,264.6357027000049,e,13,0.5853368999960367,1,Correct,,,,,6.610881461595147,0.6207897435567125,-0.06073619770682104,262819.0,0.9079828369307883,-0.3908834246366242,0.09833154262063903,269940.0,256.496577386999,,263.61757738699896
19,19,2,20,F,0,0,11.0,11,3,0,7 - 6 + 8 + 1 + 7,17,17,15,16,266.152958199993,,266.15296130000206,271.1734260999947,271.9889087000047,271.98891469999216,273.5056371999963,274.5236157000036,q,17,0.8154826000100002,1,Correct,,,,,-3.701222522382224,0.8378774401144962,-0.539316797409167,272477.0,-1.4454595483205495,-0.1106545856734944,0.33166498173629577,279827.0,266.15457738699894,,273.50457738699896
20,20,2,20,F,0,0,12.0,12,4,0,6 + 7 + 9 - 3 + 5,24,23,22,24,276.0405691000051,,276.0405721999996,281.06104319999577,284.52488650000305,284.5248928999936,286.04202140000416,287.06007609999506,q,23,3.463843300007284,0,Incorrect,,,,,-5.285128611448082,0.37430042751177917,0.23978867393911152,282365.0,-18.050698321201335,-0.7607458441127886,-0.1706210418090146,292364.0,276.04257738699897,,286.04157738699894
21,21,2,20,F,0,0,13.0,13,4,0,8 + 4 + 7 - 5 - 6,8,9,8,7,288.5770188000024,,288.57702149999386,293.5976624000032,296.8608277000021,296.8608338000049,298.37824120000005,299.39671210000233,w,8,3.2631652999989456,1,Correct,,,,,-6.211243212884192,0.98440350238053,0.30356265725904796,294901.0,15.66038693063244,0.19251699207913875,0.2107681663760843,304700.0,288.578577386999,,298.37757738699895
