TriggerName,Code,Binary
taskStart,252,11111100
instructions,253,11111101
blockScreen,254,11111110
taskEnd,255,11111111
pracProb1,1,00000001
pracProb2,2,00000010
pracProb3,3,00000011
pracProb4,4,00000100
pracAns1,11,00001011
pracAns2,12,00001100
pracAns3,13,00001101
pracAns4,14,00001110
pracResp1,15,00001111
pracResp2,16,00010000
pracResp3,17,00010001
pracResp4,18,00010010
pracITI2,20,00010100
pracFb1,31,00011111
pracFb2,32,00100000
pracFb3,33,00100001
pracFb4,34,00100010
pracITI3,21,00010101
noCueProb1,51,00110011
noCueProb2,52,00110100
noCueProb3,53,00110101
noCueProb4,54,00110110
noCueAns1,61,00111101
noCueAns2,62,00111110
noCueAns3,63,00111111
noCueAns4,64,01000000
noCueResp1,65,01000001
noCueResp2,66,01000010
noCueResp3,67,01000011
noCueResp4,68,01000100
noCueITI2,22,00010110
noCueFb1,71,01000111
noCueFb2,72,01001000
noCueFb3,73,01001001
noCueFb4,74,01001010
noCueITI3,23,00010111
cue1,81,01010001
cue2,82,01010010
cue3,83,01010011
cue4,84,01010100
cueITI1,24,00011000
cueProb1,91,01011011
cueProb2,92,01011100
cueProb3,93,01011101
cueProb4,94,01011110
cueAns1,101,01100101
cueAns2,102,01100110
cueAns3,103,01100111
cueAns4,104,01101000
cueResp1,105,01101001
cueResp2,106,01101010
cueResp3,107,01101011
cueResp4,108,01101100
cueITI2,25,00011001
cueFb1,111,01101111
cueFb2,112,01110000
cueFb3,113,01110001
cueFb4,114,01110010
cueITI3,26,00011010
TLX_mental_demand_1,121,01111001
TLX_mental_demand_2,122,01111010
TLX_mental_demand_3,123,01111011
TLX_mental_demand_4,124,01111100
TLX_effort_1,125,01111101
TLX_effort_2,126,01111110
TLX_effort_3,127,01111111
TLX_effort_4,128,10000000
